status,shopify_product_id,handle,source_title,variants,first_sku,first_ean,size_confidence,missing_translations,outdated_translations,reason
included,7347942588666,space-cat-wall-art-decor-transfer-sticker-funny-astronaut-kitten-decoration-decal-kid-room-nursery-cute-kitty-vinyl-adhesive-mural,Astronaut Kitty Wall Decal - Whimsical Space Cat Decor,19,42646827714575,7341147038079,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347943473402,office-calendar-chalkboard-vinyl-sticker-editable-organizer-dry-erase-chalk-decal-erasable-reusable-monthly-planner-blackboard-schdule-1,Adhesive Chalkboard Wall Decal - Large Monthly Planner for Home or Office Organization,6,36819989150819,7341147038574,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347943801082,glow-in-dark-big-cat-wall-sticker-furry-kitten-cute-kitty-vinyl-pet-silhouette-decal-fluffy-night-glowing-luminescent-mural-gift,Luminescent Feline Wall Decal,20,19336242167656,7341147038635,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347946127610,panda-wall-porthole-decal,3D Panda Wall Porthole Decal | Wildlife Optical Illusion,12,26312144090492,7341147039939,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7347949273338,astronaut-space-monkey-wall-vinyl-sticker-art-funny-chimpanzee-astro-thinking-sticky-chimp-print-decal-the-thinker-moon-mural-decor-label,"Cosmic Chimp Decorative Wall Decal, Adhesive Vinyl Sticker for Room Decoration",12,92519427160122,7341147040676,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347950321914,glow-in-the-dark-moon-stars-wall-sticker-glowing-ceiling-decal-for-kid-room-bedroom-the-light-decor-3d-large-vinyl-full-night-star-art,3D Celestial Glow Wall Sticker Set - Moon and Star Decals for Home Decor,6,95888593828682,7341147040997,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347954123002,blue-blossom-wall-decal,3D Blue Blossom Wall Decal | Floral Vinyl Mural,6,90654861259878,7341147041161,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7347954417914,glow-in-dark-bloody-hands-scary-red-vinyl-sticker-night-glowing-zombie-blood-car-wall-decal-print-realistic-luminescent-light-ghost,Glowing Zombie Blood Wall Decal - Luminous Horror Themed Stickers for Room Decor,20,16128998157571,7341147041222,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347955958010,glow-in-the-dark-wall-vinyl-sticker-art-luminescent-neon-night-glowing-light-decal-kid-room-stick-tree-birch-nature-botanical-forest,Glow-in-the-Dark Forest Wall Decal,18,15641500338770,7341147041598,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,,
included,7347963494650,glow-in-dark-aligator-wall-sticker-night-glowing-gator-vinyl-decal-boy-or-girl-cut-alligator-mural-realistic-luminescent-light-ghost,Glowing Alligator Wall Decal - Luminous Night Light Decor for Kids Room,20,15670327161681,7341147041833,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347963756794,banksy-illegal-rat-vinyl-wall-sticker-art-home-decor-cool-and-premium-waterproof-decal-adult-graffiti-with-quality-keen-bansky-laptop,Artistic Urban Style Vinyl Wall Decal - Wall Sticker for Home Decor,20,42446820260037,7341147042038,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7347965821178,225x-glow-in-dark-zodiac-star-wall-sticker-nursery-ceiling-glowing-vinyl-luminous-decor-decal-bedroom-fluorescent-luminescent-art,225-Piece Glow Zodiac Star Wall Decal Set,1,28371812129212,7341147042236,medium — size range/single measurement derived from description,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,,
included,7347966673146,glow-in-dark-lets-cook-breaking-bad-quote-sticker-wall-night-glowing-kitchen-element-map-science-decal-realistic-luminescent-light-ghost,Glow-in-the-Dark Chemistry Kitchen Wall Decal,20,71722180672661,7341147042243,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:title; ee:description,
included,7347967721722,rabbit-wall-decal,3D Rabbit Wall Decal | Whimsical Bunny Wall Sticker,12,31439169958154,7341147042465,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7347968704762,circle-wall-stickers-white-2-inches-round-dot-labels-small-colored-blank-removable-plain-decals-pack-adhesive-game-sticky-color-print,2-Inch Round Dot Circle Wall Stickers - Colorful Adhesive Decals for Creative Spaces,6,19855941552677,7341147042588,medium — size range/single measurement derived from description,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347970605306,police-car-wall-vinyl-sticker-officer-art-mural-decal-label-policeman-patrol-decor-gift-police-car-sticker-police-car-vinyl,"Police Car Wall Sticker, Law Enforcement Vehicle Wall Decor Decal for Kids Room",20,22545909203008,7341147042649,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347971293434,3d-effect-deep-space-wall-sticker-outer-galaxy-floor-art-decor-mural-porthole-tunnel-view-printed-decal-printing-hole-universe-illusion,3D Galactic Illusion Space Themed Wall Decal Sticker Art,6,22227770415952,7341147043059,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347971719418,tiger-porthole-wall-decal,3D Tiger Porthole Wall Decal | Left or Right Direction,12,25596873029584,7341147043110,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7347976667386,banksy-napoleon-vinyl-wall-sticker-art-home-decor-cool-and-premium-waterproof-decal-adult-graffiti-with-quality-keen-bansky-boy-laptop,Napoleon Vinyl Wall Art Decal - Waterproof Sticker for Artistic Home Decor,40,20726988134543,7341147043387,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347995967738,world-map-wall-decal-large-sticker-for-bedroom-playroom-boys-room-mural-decor-art-of-home-removable-vinyl-peel-stick-decals-stickers,"World Travel Themed Wall Sticker, Globe Adventure Artistic Wall Decor Decal",18,28237087599217,7341147043783,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347996590330,lion-king-with-crown-vinyl-wall-sticker-funny-lions-head-cut-seal-art-decal-fun-silhouette-theme-wildlife-decoration-decor-print,Luxury Lion Crown Wall Decal - Vinyl Adhesive Wall Art Sticker,20,19528258143389,7341147043967,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347996754170,banksy-businessman-vinyl-wall-sticker-art-home-decor-cool-and-premium-waterproof-decal-adult-graffiti-with-quality-keen-bansky-laptop,The Executive Art Decal: A Sophisticated Statement for Your Walls,40,24990610670096,7341147044162,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7347997802746,nursery-giraffe-vinyl-wall-sticker-baby-art-cute-funny-gift-animal-decor-decal-boy-girl-africa-decorative-colourful-jungle-kid-print,Adorable Giraffe Wall Decal Sticker for Kids - Cute Animal Themed Wall Decor,20,37542125456410,7341147044568,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348002029818,24x-the-flying-butterfly-glow-at-night-decal-glowing-vinyl-in-dark-sticker-butterflies-art-wall-elements-of-nature-illustration-decor,Glowing Night Butterflies Wall Decal - Enchanting Nature Illumination,19,15855716378706,7341147044940,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348004880634,colorful-owl-wall-sticker-cute-bird-gift-vinyl-art-decor-decal-cool-funny-animal-print-love-window-fancy-pretty-unique-big-mural,"Attractive Avian Wall Sticker, Delightful Bird-themed Peel and Stick Décor",20,43214394219711,7341147045237,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348011499770,thinking-astronaut-monkey-print-art-wall-sticker-the-thinker-chimp-space-astronauts-mural-decal-astro-chimpanzee-spacemonkey-with-helmet,Monkey Explorer Themed Space Wall Decal - Kid's Room Decorative Sticker,38,19955512074788,7341147045626,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348019626234,cute-little-fox-wallpaper-decor-decal-baby-animal-wall-sticker-for-home-nursery-kid-boy-room-bedroom-peel-stick-removable-adhesive-art,Whimsical Fox Wall Art: Adorable Nursery Decal for a Magical Space,10,27475902458707,7341147046227,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348020347130,hummingbird-wall-vinyl-sticker-colibri-art-decor-humming-bird-cute-colorful-home-decal-gift-waterproof-flying-tropical-exotic-baby-mural,Colorful Hummingbird Wall Vinyl Sticker: Add Charm to Your Home Decor,40,89135143349697,7341147046333,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348023132410,3d-sea-floor-bathroom-stickers-decor-ocean-beach-vinyl-decals-for-bathtub-bath-shower-flooring-waterproofdecal-sticker-water-mural-art,Underwater Bathroom Wall Decal | Ocean Mural Sticker,19,26043936334631,7341147046739,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7348031062266,large-world-map-wall-decal-sticker-for-bedroom-playroom-boys-room-mural-decor-art-of-home-removable-vinyl-peel-stick-decals-stickers,Global Adventure Wall Sticker - Planet Earth Geography Themed Vinyl Poster Decal,18,14910083872356,7341147047613,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348033519866,lions-head-wall-sticker-lion-face-animal-king-silhouette-vinyl-decal-wild-stickers-room-roar-home-decals-cool-black-boys-stick-print,"Lion Wall Decal Sticker, Majesty Theme - Adhesive Vinyl Wall Art",38,19032340497239,7341147047903,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348038926586,nursery-animal-wall-decor-vinyl-sticker-art-jungle-kid-baby-set-cute-decal-african-elephant-giraffe-girl-room-wild-boy-child-mural,"Safari Animal Wall Decal, Vinyl Sticker - Wild Adventures Themed Decoration",20,23239128832802,7341147048283,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348041941242,tiger-wallpaper-stick-and-peel-decal-3d-orange-head-removable-wall-paper-sticker-home-kitchen-decor-large-adhesive-vinyl-art-print,Stylish Wall Decal Tiger Design: Upgrade Your Space with Exotic Elegance!,10,24769338653485,7341147048481,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348043022586,jaguar-wallpaper-vinyl-decal-decor-home-bedroom-peel-and-stick-removable-art-wall-paper-sticker-adhesive-print-room-decoration-deco,Chic Cat Vinyl Wall Decal Decorative Sticker - Feline Home Decoration Adhesive Artwork,10,84003914911032,7341147048597,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348044136698,duck-wallpaper-vinyl-decal-decor-home-bedroom-peel-and-stick-removable-art-wall-paper-sticker-cute-adhesive-room-decoration-deco,Adorable Vinyl Duck Wall Sticker - Creative & Unique Wall Art Decal for Kids,10,38068703177046,7341147048702,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348053672186,glow-at-night-decal-branch-wall-sticker-glowing-vinyl-in-dark-flower-the-branches-nature-spring-butterflies-flowery-design-mural-art,Blossom Night Wall Sticker - Luminous Wall Decal for Home & Interior Design,20,67674670555620,7341147049013,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348054491386,world-map-vinyl-wall-sticker-country-name-word-kid-large-art-decor-decal-peel-and-stick-globe-explore-playroom-fun-mural-map-sticker,Explorer Vinyl Wall Decal - Global World Map Sticker,18,13564247556524,7341147049419,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348054786298,tree-sticker-decal-wall-birch-art-vinyl-nursery-stickers-nature-botanical-trees-decals-forest-decor-natural-big-leaf-peel-and-stick,"Nature's Serenity, Vinyl Wall Decal, Artistic Design, Easy to Install",18,20856004634505,7341147049594,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348058194170,blue-ocean-porthole-wall-decal,3D Blue Ocean Porthole Wall Decal | Underwater Sea View,6,91237999601281,7341147049778,high,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7348063305978,mountain-wall-decal-mountains-vinyl-sticker-decor-for-nursery-baby-kid-boy-room-huge-travel-mural-decoration-wallpaper-theme,Majestic Nature Inspired Wall Decal - Self-Adhesive Vinyl Sticker for Interior Design,20,19624909048137,7341147049846,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348064125178,mountain-wall-decal-mountains-vinyl-sticker-decor-for-nursery-baby-kid-boy-room-huge-travel-mural-decoration-wallpaper-theme-1,Majestic Mountain Wall Decal - Enhancing Visual Appeal with Nature Inspired Design,20,19604070498070,7341147050040,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348065108218,glow-in-dark-woman-eye-vinyl-wall-sticker-night-light-art-lash-face-girl-eyelash-decor-beauty-salon-decal-glowing-neon-women-silhouette,Glowing Luminescent Eye Vinyl Wall Decal: Enchanting Wall Sticker Art,20,15776194873080,7341147050248,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348065763578,glow-in-dark-music-is-life-wall-sticker-nigh-light-note-quote-decor-art-vinyl-decal-glowing-neon-dj-room-earphone-saying-sign-mural,IllumiNote Glow-In-The-Dark Wall Decal: Musical Notes Themed Luminous Wall Art Sticker,20,17510656393475,7341147050446,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348066648314,glow-in-dark-headphone-vinyl-wall-sticker-night-light-music-art-dj-decal-glowing-neon-cut-decor-mural-music-sticker,"Vinyl Wall Decals, Luminous Melodies Design, Self-Adhesive Wall Art Stickers",20,26896969266625,7341147050989,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348067041530,glow-in-dark-eat-drink-enjoy-quote-wall-vinyl-sticker-glowing-kitchen-text-decal-sign-nigh-light-neon-sayings-decor-sign-room,Illuminated Kitchen Wonderland Adhesive Vinyl Decal,19,17467168405052,7341147051184,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348068385018,boho-moon-phases-wall-decal-decor-bohemian-crescent-big-vinyl-wallpaper-sticker-for-or-nursery-kid-room-large-pastel-art-girl-baby-mural-1,Bohemian Crescent & Moon Phases - Elegant Vinyl Wall Art Sticker Decal,21,69151103312324,7341147051696,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348068450554,boho-rainbow-wall-decal-decor-bohemian-big-vinyl-wallpaper-sticker-for-bedroom-or-nursery-kid-room-large-pastel-art-girl-baby-mural,Boho Chic Multicolor Wall Artwork - Artistic Bohemian Rainbow Paintings for Wall Display,20,69536024311120,7341147051900,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348072513786,i-refuse-to-sink-quote-sticker-anchor-sign-art-vinyl-wall-decal-water-motivational-sailor-beach-forearm-adult-stick-hand-decor,Sturdy Inspirational Wall Decal with Unique Anchored Design,19,24532995590713,7341147052846,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348073300218,3d-window-beach-view-wall-sticker-removable-bedroom-ocean-scene-vinyl-room-decal-large-tropical-picture-frame-landscape-decoration,"Tropical Paradise Wall Sticker, Window Decal for Interior Decorations",20,25872307712262,7341147053201,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348074021114,rule-for-a-lady-wall-sticker-true-teen-laptop-feminist-crazy-decal-gift-girl-tumblr-word-lettering-house-sign-indoor-decorative-vinyl,Chic Etiquette Wall Sticker - Stylish Wall Art Decals for Interior Design Enhancement,20,84110588245355,7341147053409,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348074873082,wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art,"Wall Art Sticker Collection, Sophisticated Interior Design Accents",22,26990638153356,7341147053669,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348075626746,fitness-gym-wall-workout-decor-vinyl-decal-inspirational-motivational-sports-stickers-quotes-for-exercise-room-beast-mode-sticker-decals,Beast Mode Fitness Quote Wall Decal,6,25139532029963,7341147053881,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7348076904698,115x-star-wall-stickers-baby-shower-moon-set-decorative-vinyl-decal-little-cute-twinkle-pack-decor-nursery-gold-crescent-decoration,"Celestial Dreams Wall Sticker Collection, Space Themed Decals, Star Decor Set",6,77059600631624,7341147054000,medium — size range/single measurement derived from description,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348077396218,bird-feather-wall-vinyl-sticker-eagle-decor-flying-home-art-magic-nib-decal-love-beautiful-above-the-bed-and-window-mural,"Stylish Bird Design Wall Sticker - Modern Wall Art, Avian Decals",19,24551428406127,7341147054062,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348077494522,wallpaper-shark-decor-sticker-3d-underwater-ocean-wall-stickers-removable-decal-under-sea-home-bedroom-adhesive-decorations-art-mural,"Ocean-Themed Wall Decal Sticker, Marine Life Sea World Decorative Vinyl Art Design",10,21167957923566,7341147054253,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348077691130,family-memories-photo-frame-wall-decal,Family Memories Photo Frame Wall Decal | Vinyl Sticker,22,24729434896564,7341147054369,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7348078149882,world-map-wall-decal-sticker-for-bedroom-playroom-boys-room-mural-decor-art-of-home-removable-vinyl-peel-stick-decals-stickers-earth,Global Journey World Masterpiece Wall Art Decal - Decorative Vinyl Sticker,18,14928704348986,7341147054697,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348086112506,vinyl-wall-tribal-elephant-sticker-two-colors-wise-wealth-animal-ornaments-art-decal-indian-feng-shu-mural-free-random-decal-gift,Vinyl Elephant Wall Sticker: Wealth and Wisdom Symbolic Representation,20,26631667000317,7341147055212,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348152271098,moon-phase-wall-decor-decal-kid-full-large-sticker-for-nursery-baby-kids-room-bedroom-ceiling-decorations-art-home-removable-vinyl,Stellar Attraction Vinyl Wall Sticker - Astral Decorative Adhesive Mural Decal,20,24286009479715,7341147055618,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348159283450,3d-window-beach-view-wall-sticker-removable-bedroom-ocean-scene-vinyl-room-decal-large-tropical-picture-frame-landscape-decoration-1,"Tropical Paradise 3D Wall Decal, Beach Scenery Window Sticker, Vinyl Wall Art",20,25841440115524,7341147055816,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348160758010,headphone-vinyl-wall-sticker-music-art-dj-diecut-weatherproof-decal-silhouette-cut-decor-mural-music-sticker-headphone-sticker,Decorative Vinyl Wall Decal with Musical Melody Design - Wall Art for Music Lovers,20,12259323185822,7341147056011,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
included,7348162101498,headphone-vinyl-wall-sticker-music-art-dj-diecut-weatherproof-decal-silhouette-cut-decor-mural-music-sticker-headphone-sticker-1,Headphones and Soundwave Wall Decal,6,36991782871205,7341147056219,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,,
included,7348167442682,henna-tattoo-wall-vinyl-sticker-floral-flower-mandala-art-paisley-mehndi-indian-decal-decor-inspired-stencil-black-home-room-joga-mural,"Henna Art Inspired Wall Decal, Sophisticated Wall Tattoo Sticker",18,17165207891774,7341147056509,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348168065274,patterned-mountain-wall-decor-decal-kid-room-art-vinyl-home-black-sticker-nursery-woodland-mural-tribal-decals-stickers,"Peaks Wall Sticker, Captivating Mountain Decal, Vinyl Wall Adhesive Artwork",15,21610960095454,7341147056684,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348168589562,banksy-leopard-barcode-wall-sticker-art-home-decor-diy-bar-code-mural-decal-barcode-leopard-banksy-leopard-diy-banksy-mural,Artistic Leopard Barcode Wall Sticker - Trendy Wall Decal Design,20,41718910816343,7341147056837,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348169507066,scuba-diver-wall-sticker-fire-extinguisher-deep-dive-silhouette-vinyl-gift-decal-down-diving-happy-diver-art-creative-for-office-mural,"Underwater Theme Decal, Adventure Wall Sticker, Children's Ocean Scene Decoration",15,26072612659703,7341147057032,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348172423418,helicopter-wall-sticker-art-copter-vinyl-decal-aircraft-pilot-decor-military-removable-decals-boy-army-mural-flying-fighter-stickers,Aviator Dream Helicopter Wall Decal - Kids Aircraft Vinyl Wall Art,19,43696331686264,7341147057186,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348174160122,woman-face-black-wall-vinyl-sticker-salon-girl-happy-women-eye-window-beauty-art-decal-pretty-removable-beautiful-sexy-head-silhouette,Charming Wall Art Decal: Transform Your Wall with Elegant Silhouette Design,20,83321760738375,7341147057377,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:description,
included,7348176060666,fitness-gym-wall-workout-decor-vinyl-decal-inspirational-motivational-sports-stickers-quotes-for-exercise-room-beast-mode-sticker-decals-1,Installing Muscles Please Wait Gym Wall Decal,6,31437815070172,7341147057575,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ee:title; ee:description,
included,7348179239162,life-is-beautiful-banksy-street-art-wall-decal-singing-woman-lifeisbeautiful-sticker-cool-home-decor-vinyl-stickers-with-flower-for-room,Singing Woman Art Decal with Floral Design - Elegant Wall Sticker for Home Decoration,20,23710893048851,7341147057636,medium — unitless Shopify option interpreted as inches,lt:title; lt:description; lv:title; lv:description; fi:title; fi:description,ru:description; ee:description,
